제품코드,제품명,성분코드,성분명,1일최대투여량,1일최대 투여기준량,점검기준 성분함량 (총함량),급여구분,공고번호,공고일자
649102730,다이나브서방정(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
698002650,다이아메트서방정(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
625200180,다이포민서방정(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
670103780,메트원서방정(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
644913870,메트폭스서방정(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
648603250,멜포민서방정500mg(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
647203750,에이폴민서방정(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
628800390,휴트민서방정(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
644101260,펜디예뜨정(펜디메트라진타르타르산염)_(35mg/1정),552601ATB,Phendimetrazine,펜디메트라진타르타르산염 210mg,210,35,비급여,20210599,2021-12-16
669803310,펜디민정(펜디메트라진타르타르산염)_(35mg/1정),552601ATB,Phendimetrazine,펜디메트라진타르타르산염 210mg,210,35,비급여,20210599,2021-12-16
644802850,페닝정(펜디메트라진타르타르산염)_(35mg/1정),552601ATB,Phendimetrazine,펜디메트라진타르타르산염 210mg,210,35,비급여,20210599,2021-12-16
669904170,펜틴정(펜디메트라진타르타르산염)_(35mg/1정),552601ATB,Phendimetrazine,펜디메트라진타르타르산염 210mg,210,35,비급여,20210599,2021-12-16
646202160,펜디라정(펜디메트라진타르타르산염)_(35mg/1정),552601ATB,Phendimetrazine,펜디메트라진타르타르산염 210mg,210,35,비급여,20210599,2021-12-16
649400210,다이트린정(펜디메트라진타르타르산염)_(35mg/1정),552601ATB,Phendimetrazine,펜디메트라진타르타르산염 210mg,210,35,비급여,20210599,2021-12-16
670602380,펜디정(펜디메트라진타르타르산염)_(35mg/1정),552601ATB,Phendimetrazine,펜디메트라진타르타르산염 210mg,210,35,비급여,20210599,2021-12-16
641802190,아트라진정(펜디메트라진타르타르산염)_(35mg/1정),552601ATB,Phendimetrazine,펜디메트라진타르타르산염 210mg,210,35,비급여,20210599,2021-12-16
648603350,프로닌캡슐(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
656203190,미세틴캡슐20밀리그램(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
690300120,디프맥스캡슐20밀리그램(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
645202780,프릭딘캡슐(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
661904980,영프록틴캡슐(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
54800200,시세틴20밀리그램캡슐(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
644802370,플루민캡슐(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
644102370,포녹세틴캡슐20mg(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
669605090,아이세틴캡슐20밀리그램(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
58200830,아로작캡슐20밀리그램(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
622800930,옥시그린캡슐20밀리그램(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
689001160,시플세틴캡슐20밀리그램(플루옥세틴염산염)_(20mg/캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
661605540,폴세틴캡슐20밀리그램(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
649804220,로세틴캡슐(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
684501510,플록센캡슐(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
646202240,플루젠캡슐(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
656702150,엘렉틴캡슐20밀리그램(플루옥세틴염산염)_(22.4mg/1캡슐),161502ACH,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
671706870,플록틴정20밀리그램(플루옥세틴염산염)_(22.4mg/1정),161502ATB,Fluoxetine,플루옥세틴 80mg,80,20,비급여,20210599,2021-12-16
